,store_name,product_ref,año,Semana,semana_num,num_facturas,EMA,demanda_ajustada,desviacion_ema%,coef_ventas,lost_sales,producto_costo_unitario
172,SUCURSAL CALLE 6,ALB15W40030,2025.0,2025-09-23 00:00:00,39,0.0,1.263333,0.0,0.28,4.0,0.0,447485.45
173,SUCURSAL MEDELLIN,ALB15W40030,2025.0,2025-09-23 00:00:00,39,0.0,0.00155,0.0,1.49,23.0,0.0,447485.45
174,SUCURSAL NORTE,ALB15W40030,2025.0,2025-09-23 00:00:00,39,0.0,0.623994,0.0,0.43,6.2727272727272725,0.0,447485.45
175,SUCURSAL VALLADOLID,ALB15W40030,2025.0,2025-09-23 00:00:00,39,0.0,0.013941,0.0,1.25,23.0,0.0,447485.45
176,0,ALB15W40032,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,126048.86
177,PRINCIPAL COTA,ALB15W40050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,383404.25
178,SUCURSAL BARRANQUILLA,ALB15W40050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,383404.25
179,SUCURSAL BUCARAMANGA,ALB15W40050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,383404.25
180,SUCURSAL CALI,ALB15W40050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,383404.25
181,SUCURSAL CALLE 6,ALB15W40050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,383404.25
182,SUCURSAL MEDELLIN,ALB15W40050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,383404.25
183,SUCURSAL NORTE,ALB15W40050,2025.0,2025-09-23 00:00:00,39,0.0,0.295993,0.0,0.71,11.5,0.0,383404.25
184,SUCURSAL VALLADOLID,ALB15W40050,2025.0,2025-09-23 00:00:00,39,0.0,0.043617,0.0,0.65,7.666666666666667,0.0,383404.25
185,PRINCIPAL COTA,ALB15W40052,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,SUCURSAL BARRANQUILLA,ALB15W40052,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,SUCURSAL BUCARAMANGA,ALB15W40052,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,SUCURSAL CALI,ALB15W40052,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
